IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",104,90,90,"90",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.29840202
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",104,90,90,"90",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.24191923
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",180,91,91,"91",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.32712571
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",180,91,91,"91",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.26306873
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",181,92,92,"92",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.35603707
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",181,92,92,"92",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.28687345
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",182,93,93,"93",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.38467183
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",182,93,93,"93",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.31336787
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",183,94,94,"94",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.41285644
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",183,94,94,"94",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.34230103
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",105,95,95,"95",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.441071
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",105,95,95,"95",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.37286132
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",184,96,96,"96",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.46999465
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",184,96,96,"96",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.40401588
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",185,97,97,"97",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.50004226
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",185,97,97,"97",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.43485426
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",186,98,98,"98",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.53146541
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",186,98,98,"98",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.4646426
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",187,99,99,"99",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.56384511
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",187,99,99,"99",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.49337221
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",59,100,null,"100+",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.60071927
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",59,100,null,"100+",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.54865844
